Exposure,Group,Level,Threshold,TPR,FPR,PPV,TPR_gap,FPR_gap,PPV_gap
ILLYR_bin,IRPREG,0.0,0.2642,0.6167364298527886,0.3519288659797069,0.38923703642871366,0.01629161065546103,0.057312586931035636,-0.008948627964104894
ILLYR_bin,IRPREG,1.0,0.2642,0.5841532085418666,0.23730369211763566,0.4071342923569235,-0.01629161065546103,-0.05731258693103561,0.00894862796410495
ILLYR_bin,NEWRACE2,1.0,0.2642,0.7293738051012147,0.503473887857892,0.3915024367776299,0.3562651060194766,0.26823990419498256,0.05212489060615272
ILLYR_bin,NEWRACE2,2.0,0.2642,0.39200872029140715,0.16928777949397897,0.3464985395468975,0.018900021209668993,-0.06594620416893054,0.007120993375420326
ILLYR_bin,NEWRACE2,3.0,0.2642,0.010482249274148878,0.0055920441755895655,0.2220053155174321,-0.3626264498075893,-0.22964193948731995,-0.11737223065404509
ILLYR_bin,NEWRACE2,4.0,0.2642,0.0,0.0,,-0.37310869908173816,-0.2352339836629095,
ILLYR_bin,NEWRACE2,5.0,0.2642,0.2711124767037423,0.12623995222643863,0.29592530308665915,-0.10199622237799588,-0.10899403143647088,-0.04345224308481804
ILLYR_bin,NEWRACE2,6.0,0.2642,0.7114370924571446,0.6013285143815629,0.3781351751738213,0.33832839337540643,0.3660945307186534,0.038757629002344085
ILLYR_bin,NEWRACE2,7.0,0.2642,0.4973465497445093,0.24071570750490429,0.40219850692642306,0.12423785066277115,0.005481723841994773,0.06282096075494586
ILLYR_bin,YEAR,2021.0,0.2642,0.6851128744513292,0.4084439808998489,0.40322806150349877,0.1399673593144305,0.09008107178392388,0.043346858666931165
ILLYR_bin,YEAR,2022.0,0.2642,0.5847474866012781,0.3227091939257504,0.38494598621900583,0.03960197146437938,0.004346284809825407,0.025064783382438227
ILLYR_bin,YEAR,2023.0,0.2642,0.3655761843580886,0.22393555252217578,0.29146956078719827,-0.1795693307788101,-0.09442735659374923,-0.06841164204936934
PNRNMYR_bin,IRPREG,0.0,0.2642,0.6066505918617658,0.39905810364958305,0.35601853573172165,0.07606874049326451,0.06900853083868452,0.014543720072297872
PNRNMYR_bin,IRPREG,1.0,0.2642,0.4545131108752369,0.26104104197221406,0.3269310955871259,-0.07606874049326445,-0.06900853083868447,-0.014543720072297872
PNRNMYR_bin,NEWRACE2,1.0,0.2642,0.7563452072067123,0.6171453661026867,0.35245567302076086,0.4051402928003136,0.3584643534845921,-0.03262698217735083
PNRNMYR_bin,NEWRACE2,2.0,0.2642,0.1857964795343683,0.10695930710454683,0.2845614024961587,-0.16540843487203039,-0.15172170551354774,-0.100521252701953
PNRNMYR_bin,NEWRACE2,3.0,0.2642,0.0,0.0,,-0.35120491440639867,-0.25868101261809456,
PNRNMYR_bin,NEWRACE2,4.0,0.2642,0.0,0.0,,-0.35120491440639867,-0.25868101261809456,
PNRNMYR_bin,NEWRACE2,5.0,0.2642,0.1725040985170377,0.026036783230418047,0.564583201467014,-0.17870081588936096,-0.2326442293876765,0.17950054626890233
PNRNMYR_bin,NEWRACE2,6.0,0.2642,0.8926902847030437,0.7981036659441867,0.36502601397741746,0.541485370296645,0.5394226533260922,-0.020056641220694227
